Pair,Model_A,Model_B,Loss,Set,DM_stat_full,p_value_full,n_obs_full,A_better_than_B_5pct_full,DM_stat_trim,p_value_trim,n_obs_trim,A_better_than_B_5pct_trim,same_significance
SGDPHP_RET,hybrid_var_svr,baseline_mean,mse,test,-2.0864269902576833,0.03753977734064384,423,True,-1.4217883009465444,0.1558460969304849,412,False,False
SGDPHP_RET,hybrid_var_svr,baseline_rw,mse,test,-2.080864957804212,0.0380488149838889,423,True,-1.434216183978094,0.1522709693443569,412,False,False
SGDPHP_RET,hybrid_varx_mlp,baseline_ar1,mse,test,-2.2081293392484915,0.02777229289815053,423,True,-2.110945991671448,0.035377389697813344,414,True,True
SGDPHP_RET,hybrid_varx_mlp,baseline_mean,mse,test,-2.6300724448156796,0.008848826564512802,423,True,-2.754371730075691,0.006140361622747559,414,True,True
SGDPHP_RET,hybrid_varx_mlp,baseline_rw,mse,test,-2.6189548979979187,0.009137587692708893,423,True,-2.7557816569074274,0.006114441450938868,414,True,True
SGDPHP_RET,hybrid_varx_svr,baseline_ar1,mse,test,-1.6305408153019607,0.10373333289417075,423,False,-0.35312753238158257,0.7241734367341661,413,False,True
SGDPHP_RET,hybrid_varx_svr,baseline_mean,mse,test,-2.234070054928835,0.02600156284371491,423,True,-1.8440999859146774,0.06588636968895156,413,False,False
SGDPHP_RET,hybrid_varx_svr,baseline_rw,mse,test,-2.227898205901287,0.026413730482300224,423,True,-1.8505224329791596,0.06495394871226723,413,False,False
SGDPHP_RET,var,baseline_ar1,mse,test,2.598850664837625,0.009681269184946606,423,False,2.692855094786126,0.007372652824674697,414,False,True
SGDPHP_RET,var,baseline_mean,mse,test,-2.3982082139777554,0.01690889282087671,423,True,-1.885732224902126,0.06003260522782217,414,False,False
SGDPHP_RET,var,baseline_rw,mse,test,-2.3839111729961076,0.017570943750984558,423,True,-1.9001847112846877,0.05810504608143874,414,False,False
SGDPHP_RET,varx,baseline_ar1,mse,test,-0.024019634998668132,0.9808483002704809,423,False,0.020219428171147323,0.983878094242471,414,False,True
SGDPHP_RET,varx,baseline_mean,mse,test,-2.611085824272755,0.009347047289341548,423,True,-2.3670014124838286,0.018392070704557728,415,True,True
SGDPHP_RET,varx,baseline_rw,mse,test,-2.5951037713576994,0.00978573830453211,423,True,-2.3717538400438043,0.01816043370682352,415,True,True
USDPHP_RET,hybrid_arima_svr,arima,mse,test,-1.8339108131586679,0.06737125309348357,423,False,-1.1805379415383483,0.23846908713256254,412,False,True
USDPHP_RET,hybrid_arima_mlp,arima,mse,test,-1.9341117607423146,0.05376762830661397,423,False,-1.6954414134800577,0.09074723032773524,413,False,True
USDPHP_RET,hybrid_var_svr,var,mse,test,-1.628757367799413,0.10411064249069835,423,False,-0.7719690724565489,0.4405753098740657,413,False,True
USDPHP_RET,hybrid_var_mlp,var,mse,test,-1.8612015271100188,0.06341086208618973,423,False,-1.5054734912602987,0.1329667844793161,414,False,True
USDPHP_RET,arima,baseline_ar1,mse,test,-2.511570184355508,0.012392024261993706,423,True,-1.6575686547270074,0.09816207452359582,415,False,False
